Date,.dMIWD00000G,.dMIEF00000G,.dMIEA00000G,JPY=,US10YT=RR,Updated at 17:32:01,US3MT=RR
2021-12-29,1921.41,168604.87,6118.27,114.94,1.5565,2021-12-23 00:00:00,0.071
2021-12-28,1921.52,169582.17,6124.89,114.81,1.4842,2021-12-22 00:00:00,0.071
2021-12-27,1919.52,168849.35,6085.11,114.83,1.4773,2021-12-21 00:00:00,0.071
2021-12-24,1902.51,168711.81,6068.28,114.41,1.4926,2021-12-20 00:00:00,0.076
2021-12-23,1902.77,168808.69,6070.83,114.37,1.4926,2021-12-17 00:00:00,0.051
2021-12-22,1890.06,167845.98,6023.44,114.11,1.4532,2021-12-16 00:00:00,0.046
2021-12-21,1874.74,167092.47,5989.96,114.08,1.4668,2021-12-15 00:00:00,0.051
2021-12-20,1844.21,165368.38,5909.19,113.58,1.4276,2021-12-14 00:00:00,0.058
2021-12-17,1868.33,168599.00,5989.97,113.67,1.4072,2021-12-13 00:00:00,0.056
2021-12-16,1883.02,169782.02,6032.94,113.70,1.4241,2021-12-10 00:00:00,0.063
2021-12-15,1888.52,168668.24,5969.33,114.02,1.4582,2021-12-09 00:00:00,0.063
2021-12-14,1869.03,169429.81,5954.86,113.71,1.4411,2021-12-08 00:00:00,0.066
2021-12-13,1882.32,170434.16,5992.73,113.56,1.4139,2021-12-07 00:00:00,0.063
2021-12-10,1895.80,171342.86,6008.57,113.38,1.4820,2021-12-06 00:00:00,0.053
2021-12-09,1889.55,172360.49,6036.55,113.44,1.4973,2021-12-03 00:00:00,0.053
2021-12-08,1899.74,171275.28,6053.23,113.66,1.5281,2021-12-02 00:00:00,0.053
2021-12-07,1894.25,170896.99,6048.42,113.57,1.4819,2021-12-01 00:00:00,0.056
2021-12-06,1855.85,168077.30,5924.16,113.46,1.4325,2021-11-30 00:00:00,0.053
2021-12-03,1840.93,169435.36,5880.24,112.80,1.3564,2021-11-29 00:00:00,0.048
2021-12-02,1853.79,170744.20,5876.15,113.15,1.4443,2021-11-26 00:00:00,0.053
2021-12-01,1838.73,169321.64,5926.93,112.75,1.4037,2021-11-24 00:00:00,0.061
2021-11-30,1847.12,167828.19,5853.62,113.13,1.4562,2021-11-23 00:00:00,0.051
2021-11-29,1876.10,168943.75,5907.68,113.52,1.5021,2021-11-22 00:00:00,0.051
2021-11-26,1862.68,169488.56,5914.43,113.31,1.4816,2021-11-19 00:00:00,0.051
2021-11-25,1908.01,173337.08,6094.08,115.35,1.6427,2021-11-18 00:00:00,0.051
2021-11-24,1905.82,173093.86,6071.67,115.41,1.6427,2021-11-17 00:00:00,0.051
2021-11-23,1903.61,173483.61,6084.06,115.12,1.6755,2021-11-16 00:00:00,0.046
2021-11-22,1905.90,173908.26,6122.37,114.86,1.6322,2021-11-15 00:00:00,0.046
2021-11-19,1913.66,174731.57,6131.34,113.98,1.5479,2021-11-12 00:00:00,0.053
2021-11-18,1917.27,175167.05,6141.53,114.24,1.5872,2021-11-10 00:00:00,0.051
2021-11-17,1917.08,176812.40,6156.79,114.07,1.5854,2021-11-09 00:00:00,0.046
2021-11-16,1922.42,177361.58,6171.69,114.82,1.6404,2021-11-08 00:00:00,0.041
2021-11-15,1915.87,176503.08,6167.47,114.12,1.6180,2021-11-05 00:00:00,0.046
2021-11-12,1914.33,176375.21,6147.05,113.85,1.5699,2021-11-04 00:00:00,0.041
2021-11-11,1901.35,175654.91,6115.79,114.05,1.5699,2021-11-03 00:00:00,0.051
2021-11-10,1897.48,174695.26,6096.22,113.90,1.5699,2021-11-02 00:00:00,0.051
2021-11-09,1907.55,174123.56,6095.52,112.85,1.4393,2021-11-01 00:00:00,0.048
2021-11-08,1912.13,173854.19,6115.23,113.22,1.4932,2021-10-29 00:00:00,0.058
2021-11-05,1909.93,173485.81,6117.57,113.40,1.4548,2021-10-28 00:00:00,0.056
2021-11-04,1907.09,174194.53,6119.22,113.75,1.5297,2021-10-27 00:00:00,0.056
2021-11-03,1898.24,173534.45,6080.88,113.98,1.6034,2021-10-26 00:00:00,0.056
2021-11-02,1889.88,173645.90,6068.99,113.95,1.5470,2021-10-25 00:00:00,0.056
2021-11-01,1886.05,173779.43,6065.77,113.98,1.5610,2021-10-22 00:00:00,0.061
2021-10-29,1877.89,173399.89,6003.43,114.00,1.5609,2021-10-21 00:00:00,0.056
2021-10-28,1878.68,174818.58,6013.56,113.56,1.5782,2021-10-20 00:00:00,0.056
2021-10-27,1867.94,175753.05,6014.03,113.81,1.5501,2021-10-19 00:00:00,0.056
2021-10-26,1878.26,177256.93,6028.57,114.14,1.6097,2021-10-18 00:00:00,0.053
2021-10-25,1873.83,177496.80,5986.92,113.70,1.6325,2021-10-15 00:00:00,0.048
2021-10-22,1868.12,177278.09,5988.00,113.46,1.6377,2021-10-14 00:00:00,0.046
2021-10-21,1868.52,177162.45,5966.42,113.97,1.6958,2021-10-13 00:00:00,0.051
2021-10-20,1867.54,178019.09,5992.18,114.26,1.6602,2021-10-12 00:00:00,0.051
2021-10-19,1861.22,177375.14,5976.51,114.36,1.6407,2021-10-08 00:00:00,0.051
2021-10-18,1849.80,176246.31,5957.47,114.31,1.5914,2021-10-07 00:00:00,0.053
2021-10-15,1846.34,175998.87,5974.12,114.20,1.5738,2021-10-06 00:00:00,0.046
2021-10-14,1831.38,174063.77,5919.32,113.66,1.5160,2021-10-05 00:00:00,0.041
2021-10-13,1807.79,173543.70,5867.58,113.23,1.5420,2021-10-04 00:00:00,0.038
2021-10-12,1800.48,172840.14,5849.58,113.60,1.5716,2021-10-01 00:00:00,0.038
2021-10-11,1804.89,174255.09,5862.60,113.30,1.6118,2021-09-30 00:00:00,0.038
2021-10-08,1808.57,172945.76,5835.33,112.22,1.6118,2021-09-29 00:00:00,0.041
2021-10-07,1809.35,172175.86,5825.43,111.59,1.5764,2021-09-28 00:00:00,0.041
2021-10-06,1789.82,168826.10,5761.66,111.41,1.5276,2021-09-27 00:00:00,0.03
2021-10-05,1789.89,169739.05,5810.16,111.45,1.5275,2021-09-24 00:00:00,0.035
2021-10-04,1776.20,169601.87,5788.60,110.87,1.4806,2021-09-23 00:00:00,0.03
2021-10-01,1794.85,170823.03,5813.19,111.05,1.4650,2021-09-22 00:00:00,0.03
2021-09-30,1788.83,171842.17,5873.90,111.27,1.4925,2021-09-21 00:00:00,0.025
2021-09-29,1800.70,171512.32,5879.98,111.96,1.5236,2021-09-20 00:00:00,0.03
2021-09-28,1800.59,172633.06,5875.49,111.50,1.5461,2021-09-17 00:00:00,0.038
2021-09-27,1831.30,172984.07,5955.13,111.00,1.4906,2021-09-16 00:00:00,0.035
2021-09-24,1834.94,172647.51,5960.28,110.72,1.4526,2021-09-15 00:00:00,0.041
2021-09-23,1835.15,173375.44,5964.33,110.30,1.4353,2021-09-14 00:00:00,0.041
2021-09-22,1817.69,172033.13,5929.23,109.78,1.3040,2021-09-13 00:00:00,0.048
2021-09-21,1804.93,171908.49,5904.64,109.21,1.3277,2021-09-10 00:00:00,0.048
2021-09-20,1802.77,171496.27,5884.85,109.39,1.3124,2021-09-09 00:00:00,0.046
2021-09-17,1831.91,174074.08,5960.83,109.96,1.3633,2021-09-08 00:00:00,0.046
2021-09-16,1843.18,173453.71,5989.75,109.70,1.3361,2021-09-07 00:00:00,0.041
2021-09-15,1845.06,174756.91,5977.85,109.36,1.3039,2021-09-03 00:00:00,0.046
2021-09-14,1840.66,175772.86,6026.96,109.67,1.2836,2021-09-02 00:00:00,0.046
2021-09-13,1846.78,176483.65,6013.58,109.98,1.3259,2021-09-01 00:00:00,0.046
2021-09-10,1844.82,177263.24,6000.49,109.93,1.3428,2021-08-31 00:00:00,0.046
2021-09-09,1851.17,176197.77,5987.56,109.70,1.2971,2021-08-30 00:00:00,0.046
2021-09-08,1860.92,178109.33,6020.91,110.23,1.3359,2021-08-27 00:00:00,0.053
2021-09-07,1866.76,179136.52,6051.06,110.27,1.3766,2021-08-26 00:00:00,0.053
2021-09-06,1870.14,178710.50,6051.20,109.83,1.3257,2021-08-25 00:00:00,0.051
2021-09-03,1864.59,177552.28,5999.47,109.73,1.3257,2021-08-24 00:00:00,0.058
2021-09-02,1863.96,177195.38,5999.93,109.92,1.2852,2021-08-23 00:00:00,0.051
2021-09-01,1859.27,177227.03,5986.06,109.99,1.2987,2021-08-20 00:00:00,0.053
2021-08-31,1854.50,176764.66,5946.81,110.02,1.3071,2021-08-19 00:00:00,0.053
2021-08-30,1853.88,174214.85,5953.30,109.92,1.2802,2021-08-18 00:00:00,0.061
2021-08-27,1845.93,172959.44,5934.34,109.82,1.3104,2021-08-17 00:00:00,0.074
2021-08-26,1834.54,172489.72,5925.55,110.07,1.3542,2021-08-16 00:00:00,0.063
2021-08-25,1843.55,173602.01,5937.44,109.99,1.3491,2021-08-13 00:00:00,0.053
2021-08-24,1839.75,172896.94,5934.79,109.62,1.2969,2021-08-12 00:00:00,0.051
2021-08-23,1831.32,169038.46,5920.18,109.68,1.2533,2021-08-11 00:00:00,0.051
2021-08-20,1814.92,167107.97,5870.55,109.80,1.2550,2021-08-10 00:00:00,0.056
2021-08-19,1807.03,168456.82,5868.76,109.72,1.2433,2021-08-09 00:00:00,0.051
2021-08-18,1816.45,171762.68,5945.97,109.74,1.2600,2021-08-06 00:00:00,0.051
2021-08-17,1826.46,171109.10,5937.31,109.57,1.2667,2021-08-05 00:00:00,0.053
2021-08-16,1836.78,172859.66,5941.22,109.23,1.2684,2021-08-04 00:00:00,0.051
2021-08-13,1840.15,173992.82,5990.57,109.57,1.2834,2021-08-03 00:00:00,0.051
2021-08-12,1838.90,175208.05,5976.16,110.38,1.3607,2021-08-02 00:00:00,0.048
2021-08-11,1835.63,175980.71,5967.65,110.40,1.3354,2021-07-30 00:00:00,0.046
2021-08-10,1831.40,176318.85,5938.25,110.56,1.3541,2021-07-29 00:00:00,0.046
2021-08-09,1828.48,175387.89,5922.22,110.28,1.3254,2021-07-28 00:00:00,0.051
2021-08-06,1827.51,174875.62,5910.47,110.25,1.3053,2021-07-27 00:00:00,0.051
2021-08-05,1826.88,175416.99,5907.98,109.74,1.2252,2021-07-26 00:00:00,0.046
2021-08-04,1819.33,176095.43,5889.26,109.47,1.1804,2021-07-23 00:00:00,0.051
2021-08-03,1820.80,175048.60,5872.03,109.04,1.1738,2021-07-22 00:00:00,0.048
2021-08-02,1811.94,174690.93,5872.99,109.28,1.1789,2021-07-21 00:00:00,0.051
2021-07-30,1806.56,172804.31,5815.51,109.70,1.2256,2021-07-20 00:00:00,0.051
2021-07-29,1818.28,174855.13,5851.89,109.46,1.2659,2021-07-19 00:00:00,0.046
2021-07-28,1807.61,171912.40,5821.76,109.90,1.2377,2021-07-16 00:00:00,0.046
2021-07-27,1803.56,169748.51,5813.66,109.76,1.2394,2021-07-15 00:00:00,0.048
2021-07-26,1815.28,173562.07,5832.58,110.34,1.2946,2021-07-14 00:00:00,0.051
2021-07-23,1818.04,177527.86,5827.80,110.54,1.2813,2021-07-13 00:00:00,0.051
2021-07-22,1805.79,179525.46,5789.90,110.14,1.2766,2021-07-12 00:00:00,0.053
2021-07-21,1799.53,177866.28,5770.11,110.27,1.2917,2021-07-09 00:00:00,0.053
2021-07-20,1784.54,177656.92,5698.34,109.84,1.2218,2021-07-08 00:00:00,0.053
2021-07-19,1767.96,178324.18,5692.97,109.44,1.1987,2021-07-07 00:00:00,0.053
2021-07-16,1795.33,180675.05,5795.07,110.08,1.3003,2021-07-06 00:00:00,0.048
2021-07-15,1805.55,181831.17,5807.89,109.86,1.3006,2021-07-02 00:00:00,0.051
2021-07-14,1811.26,180622.57,5858.43,109.99,1.3492,2021-07-01 00:00:00,0.048
2021-07-13,1812.18,180831.00,5867.83,110.61,1.4183,2021-06-30 00:00:00,0.046
2021-07-12,1813.25,179183.54,5855.60,110.35,1.3678,2021-06-29 00:00:00,0.051
2021-07-09,1804.49,178145.20,5799.48,110.14,1.3612,2021-06-28 00:00:00,0.051
2021-07-08,1788.67,177932.79,5761.52,109.79,1.2945,2021-06-25 00:00:00,0.053
2021-07-07,1808.28,180876.97,5839.89,110.65,1.3229,2021-06-24 00:00:00,0.053
2021-07-06,1803.76,181071.65,5817.08,110.60,1.3515,2021-06-23 00:00:00,0.046
2021-07-05,1807.08,181649.00,5835.58,110.96,1.4306,2021-06-22 00:00:00,0.043
2021-07-02,1806.81,181998.87,5828.85,111.04,1.4306,2021-06-21 00:00:00,0.041
2021-07-01,1799.31,183454.74,5812.71,111.50,1.4595,2021-06-18 00:00:00,0.041
2021-06-30,1793.35,183924.72,5792.07,111.10,1.4680,2021-06-17 00:00:00,0.038
2021-06-29,1795.76,184100.38,5826.20,110.50,1.4748,2021-06-16 00:00:00,0.048
2021-06-28,1795.18,184405.01,5822.95,110.62,1.4816,2021-06-15 00:00:00,0.025
2021-06-25,1793.59,184031.98,5844.59,110.77,1.5241,2021-06-14 00:00:00,0.025
2021-06-24,1787.08,182809.77,5825.93,110.86,1.4987,2021-06-11 00:00:00,0.028
2021-06-23,1776.88,182034.57,5791.00,110.94,1.4852,2021-06-10 00:00:00,0.025
2021-06-22,1778.24,180324.06,5825.13,110.64,1.4666,2021-06-09 00:00:00,0.025
2021-06-21,1768.18,180734.99,5769.66,110.30,1.4971,2021-06-08 00:00:00,0.025
2021-06-18,1757.26,181855.36,5790.90,110.19,1.4431,2021-06-07 00:00:00,0.025
2021-06-17,1775.43,181779.46,5857.43,110.20,1.5108,2021-06-04 00:00:00,0.02
2021-06-16,1775.49,181697.84,5870.57,110.69,1.5805,2021-06-03 00:00:00,0.02
2021-06-15,1781.64,182903.28,5863.77,110.07,1.4889,2021-06-02 00:00:00,0.02
2021-06-14,1782.88,183362.98,5839.38,110.06,1.4973,2021-06-01 00:00:00,0.015
2021-06-11,1778.60,183048.19,5824.39,109.65,1.4535,2021-05-28 00:00:00,0.013
2021-06-10,1773.59,182620.30,5803.49,109.31,1.4369,2021-05-27 00:00:00,0.01
2021-06-09,1766.87,181834.90,5801.95,109.61,1.4924,2021-05-26 00:00:00,0.01
2021-06-08,1769.66,182280.03,5803.23,109.49,1.5381,2021-05-25 00:00:00,0.015
2021-06-07,1769.48,182673.88,5799.72,109.24,1.5687,2021-05-24 00:00:00,0.01
2021-06-04,1768.73,182967.06,5786.82,109.49,1.5568,2021-05-21 00:00:00,0.005
2021-06-03,1758.52,183229.95,5776.29,110.28,1.6250,2021-05-20 00:00:00,0.008
2021-06-02,1763.13,183941.84,5768.31,109.54,1.5892,2021-05-19 00:00:00,0.015
2021-06-01,1759.96,184137.44,5743.69,109.45,1.6062,2021-05-18 00:00:00,0.015
2021-05-31,1755.15,182342.40,5711.86,109.54,1.5807,2021-05-17 00:00:00,0.01
2021-05-28,1756.15,180422.94,5749.79,109.81,1.5807,2021-05-14 00:00:00,0.01
2021-05-27,1749.69,179729.12,5697.66,109.80,1.6062,2021-05-13 00:00:00,0.013
2021-05-26,1748.35,179543.14,5699.10,109.14,1.5808,2021-05-12 00:00:00,0.015
2021-05-25,1744.64,178905.55,5697.51,108.76,1.5604,2021-05-11 00:00:00,0.015
2021-05-24,1742.44,176663.70,5680.91,108.74,1.6029,2021-05-10 00:00:00,0.01
2021-05-21,1731.38,177060.14,5665.13,108.94,1.6233,2021-05-07 00:00:00,0.015
2021-05-20,1730.51,177180.77,5640.73,108.75,1.6284,2021-05-06 00:00:00,0.015
2021-05-19,1714.00,176900.41,5589.88,109.21,1.6762,2021-05-05 00:00:00,0.018
2021-05-18,1722.84,177496.59,5655.54,108.88,1.6403,2021-05-04 00:00:00,0.015
2021-05-17,1724.60,174922.93,5622.29,109.19,1.6522,2021-05-03 00:00:00,0.015
2021-05-14,1726.62,174262.79,5624.79,109.34,1.6352,2021-04-30 00:00:00,0.013
2021-05-13,1702.29,172420.59,5551.76,109.45,1.6591,2021-04-29 00:00:00,0.013
2021-05-12,1696.55,175153.54,5580.77,109.65,1.6934,2021-04-28 00:00:00,0.018
2021-05-11,1721.73,176759.49,5591.47,108.61,1.6217,2021-04-27 00:00:00,0.015
2021-05-10,1741.10,178665.98,5704.72,108.78,1.6038,2021-04-26 00:00:00,0.015
2021-05-07,1752.13,179260.73,5687.01,108.60,1.5788,2021-04-23 00:00:00,0.02
2021-05-06,1740.25,178815.47,5651.02,109.08,1.5696,2021-04-22 00:00:00,0.02
2021-05-05,1730.43,178063.51,5624.90,109.18,1.5713,2021-04-21 00:00:00,0.023
2021-05-04,1725.52,178449.38,5560.58,109.33,1.5906,2021-04-20 00:00:00,0.025
2021-05-03,1737.73,178864.25,5606.40,109.06,1.5994,2021-04-19 00:00:00,0.02
2021-04-30,1735.55,179876.02,5590.26,109.27,1.6259,2021-04-16 00:00:00,0.018
2021-04-29,1747.92,181731.96,5618.04,108.91,1.6415,2021-04-15 00:00:00,0.015
2021-04-28,1743.14,182072.72,5623.12,108.59,1.6111,2021-04-14 00:00:00,0.02
2021-04-27,1742.38,181704.10,5611.76,108.68,1.6252,2021-04-13 00:00:00,0.02
2021-04-26,1743.82,181582.41,5626.84,108.08,1.5684,2021-04-12 00:00:00,0.018
2021-04-23,1739.67,181030.76,5616.63,107.91,1.5595,2021-04-09 00:00:00,0.013
2021-04-22,1726.57,179485.12,5621.62,107.96,1.5416,2021-04-08 00:00:00,0.015
2021-04-21,1730.05,179024.62,5562.96,108.05,1.5590,2021-04-07 00:00:00,0.015
2021-04-20,1722.34,180216.03,5567.86,108.08,1.5660,2021-04-06 00:00:00,0.02
2021-04-19,1737.06,180551.89,5653.66,108.15,1.6100,2021-04-05 00:00:00,0.02
2021-04-16,1744.27,180750.39,5662.01,108.77,1.5904,2021-04-02 00:00:00,0.0203
2021-04-15,1737.57,179901.95,5629.20,108.74,1.5742,2021-04-01 00:00:00,0.018
